Creator_ID,Channel_Name,Handle,Platform,Category,Content_Type,Country,Followers,Avg_Views,Monthly_Views,Engagement_Rate,Nox_Score,Target_Age,Target_Gender,Estimated_CPM,Upload_Per_Month,Views_Trend_6M,Last_Upload_Date,Controversy_Flag,Ad_Content_Ratio,Risk_Score,Creator_Tier,Collab_Type_Pref,Created_At,Daily_Views,Thumbnail_URL,Channel_ID,Channel_URL
CR_YT_0011,GH'S,@yt_ucdrbnbn,YouTube,엔터테인먼트,예능,Korea,27300000,23920000,215280000,2.89,3.9,18-34,Mixed,11556.0,12,하락,2026-05-06,없음,17,5.0,메가,PPL,2026-06-13,9395988,https://yt3.ggpht.com/EIgEVfLNXj7LHM98mXOoG0mBE_7nsL6Pf9wjfiofqF5Un9akWxLbTIRZtasy3jd_WcaJmQxk=s240-c-k-c0x00ffffff-no-rj,UCdrBnBNLsN4_cH32HWbr9qg,https://www.youtube.com/channel/UCdrBnBNLsN4_cH32HWbr9qg
CR_YT_0012,1MILLION Dance Studio,@yt_ucw8zhlp,YouTube,엔터테인먼트,예능,Korea,26400000,968169,7745352,3.4,5.0,18-34,Mixed,3993.0,20,하락,2026-05-05,없음,24,5.0,메가,브랜디드콘텐츠,2026-06-13,200942,https://yt3.ggpht.com/GIdwcpAh62v63hM78S2RO0dy74qSVHs72kNlluDzSSCTkFUe34XDQSTrpxSKSJDOmgUHdiiGkw=s240-c-k-c0x00ffffff-no-rj,UCw8ZhLPdQ0u_Y-TLKd61hGA,https://www.youtube.com/channel/UCw8ZhLPdQ0u_Y-TLKd61hGA
CR_YT_0013,1theK (원더케이),@yt_ucweokpb,YouTube,엔터테인먼트,브이로그,Korea,25100000,1211739,10905651,4.76,2.4,18-34,Mixed,2894.0,16,하락,2026-05-19,없음,35,4.7,메가,브랜디드콘텐츠,2026-06-13,503328,https://yt3.ggpht.com/N9zJYmTpFKxrDlxmKv09gsjvrSrcVYWcK8lxWTyvTbXd5VMChyKzkf1cVpOT902d1-ZQIQQWeg=s240-c-k-c0x00ffffff-no-rj,UCweOkPb1wVVH0Q0Tlj4a5Pw,https://www.youtube.com/channel/UCweOkPb1wVVH0Q0Tlj4a5Pw
CR_YT_0014,Stray Kids,@yt_uc9rmiej,YouTube,엔터테인먼트,버라이어티,Korea,24000000,5601918,112038360,2.11,2.9,13-17,Mixed,8005.0,16,상승,2026-01-17,없음,28,4.7,메가,브랜디드콘텐츠,2026-06-13,4522434,https://yt3.ggpht.com/rKpjNGv_TGpBsNXsm46VAxZqy7_uf6wWCnw-ZLnFHV7jOzbUvF9tNMlZMKl_djtzaNCDyLQ0VQ=s240-c-k-c0x00ffffff-no-rj,UC9rMiEjNaCSsebs31MRDCRA,https://www.youtube.com/channel/UC9rMiEjNaCSsebs31MRDCRA
CR_YT_0015,유백합 kkubi99,@yt_ucz8gf4p,YouTube,엔터테인먼트,예능,Korea,22600000,6637029,86281377,4.93,3.8,18-34,Mixed,1354.0,1,상승,2026-01-19,없음,9,4.0,메가,PPL,2026-06-13,2055578,https://yt3.ggpht.com/qqPRPkI1P9IcUd7c4PzytW-qTSnXxul20JwvL7taMNtMJtK2dJj_VkJIcXtaDYqpVuW8Bnz7_A=s240-c-k-c0x00ffffff-no-rj,UCz8gf4PK1Qth50lLHdvTCcA,https://www.youtube.com/channel/UCz8gf4PK1Qth50lLHdvTCcA
CR_YT_0016,Mnet K-POP,@yt_ucbd8epp,YouTube,엔터테인먼트,버라이어티,Korea,22400000,415869,6653904,5.85,2.6,18-34,Mixed,7358.0,2,유지,2026-01-25,없음,35,4.2,메가,브랜디드콘텐츠,2026-06-13,192209,https://yt3.ggpht.com/GzpFOGCV-JDK37RDVpgQjpgbBNdbA_6egWS9UI1fRdRfoClR9cY-nFHKPXY-F7_ddgHZ1cM=s240-c-k-c0x00ffffff-no-rj,UCbD8EppRX3ZwJSou-TVo90A,https://www.youtube.com/channel/UCbD8EppRX3ZwJSou-TVo90A
CR_YT_0017,officialpsy,@yt_ucrdkavw,YouTube,엔터테인먼트,예능,Korea,20400000,69468085,1250425530,3.89,3.4,18-34,Mixed,14770.0,16,상승,2026-03-28,없음,8,5.0,메가,PPL,2026-06-13,41753201,https://yt3.ggpht.com/kJ8zwS_VhJ0TE-XDumnshGQ86hazfhHjjU4xn80Dc8xmSghA_2xw4OJTHaGreyeoro6q_vcT=s240-c-k-c0x00ffffff-no-rj,UCrDkAvwZum-UTjHmzDI2iIw,https://www.youtube.com/channel/UCrDkAvwZum-UTjHmzDI2iIw
CR_YT_0018,ROSÉ,@yt_ucbo1hnz,YouTube,엔터테인먼트,예능,Korea,19900000,59456521,1189130420,2.49,2.6,18-34,Mixed,4539.0,8,상승,2026-05-21,없음,13,5.0,메가,PPL,2026-06-13,51654667,https://yt3.ggpht.com/qjsflFmyakGs5ekX8fPsDNfuKABx-yxIDrv-4ooPAFcZ6JUUpUPlue7g_d-VAk2YAiYR-0yr=s240-c-k-c0x00ffffff-no-rj,UCBo1hnzxV9rz3WVsv__Rn1g,https://www.youtube.com/channel/UCBo1hnzxV9rz3WVsv__Rn1g
CR_YT_0019,TWICE,@yt_uczgxx_d,YouTube,엔터테인먼트,브이로그,Korea,19300000,3702366,33321294,8.49,4.5,18-34,Mixed,7542.0,1,상승,2026-02-12,없음,20,4.0,메가,브랜디드콘텐츠,2026-06-13,816829,https://yt3.ggpht.com/rj-m7CQIV8hIHx_lB8cjs0NxrDFJaUkVwZ5tCnZTNSVEr2IqXGF-2e7nr7og1IGeRXtHikce=s240-c-k-c0x00ffffff-no-rj,UCzgxx_DM2Dcb9Y1spb9mUJA,https://www.youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA
CR_YT_0020,보겸TV,@yt_ucu9bctg,YouTube,엔터테인먼트,브이로그,Korea,18400000,465467,6516538,3.62,4.8,18-34,Mixed,10601.0,20,하락,2026-02-18,없음,34,4.7,메가,브랜디드콘텐츠,2026-06-13,152380,https://yt3.ggpht.com/OfZ8KusIKgE_C3wJCmz9iyXazYhox89xoF400-vxYCuxcmRJkxWxzHOt8vj6sXay2V1XBaYriA=s240-c-k-c0x00ffffff-no-rj,UCu9BCtGIEr73LXZsKmoujKw,https://www.youtube.com/channel/UCu9BCtGIEr73LXZsKmoujKw
CR_YT_0021,Jane ASMR 제인,@yt_uc2fsxqr,YouTube,라이프스타일,리뷰,Korea,18400000,2980491,35765892,0.97,4.2,18-34,Mixed,8971.0,1,하락,2026-01-15,확인필요,25,2.5,메가,PPL,2026-06-13,1016217,https://yt3.ggpht.com/KbQov_kjsMo39ninn_sx3T4HacY15t29JGVospz7gA_uDKlqb7AlVwcgr0c8MT2Jt-MfUQ6vwg=s240-c-k-c0x00ffffff-no-rj,UC2fsxQr6Hcx1enORxXgKpxQ,https://www.youtube.com/channel/UC2fsxQr6Hcx1enORxXgKpxQ
CR_YT_0022,JENNIE,@yt_ucnyi_zg,YouTube,엔터테인먼트,버라이어티,Korea,17600000,27966101,447457616,1.99,3.8,18-34,Mixed,14153.0,16,하락,2026-06-08,없음,20,5.0,메가,브랜디드콘텐츠,2026-06-13,11277095,https://yt3.ggpht.com/Pb5o6YfIvifCkLV5IZ2J_DoP8KtOneSrE6u_ap-0x_45Lzoej4cX8sv12RXLgM7EDH_gpZ7t=s240-c-k-c0x00ffffff-no-rj,UCNYi_zGmR519r5gYdOKLTjQ,https://www.youtube.com/channel/UCNYi_zGmR519r5gYdOKLTjQ
CR_YT_0023,SEVENTEEN,@yt_ucfkxdy7,YouTube,엔터테인먼트,브이로그,Korea,17400000,2358647,21227823,5.17,3.6,18-34,Mixed,5056.0,4,유지,2026-03-18,없음,18,5.0,메가,브랜디드콘텐츠,2026-06-13,702964,https://yt3.ggpht.com/SJoMHFpg1gf3EOnvnD1yJJlHiEzD4A0tKbZEf5D_Otr_pvU4JutAu3Zd9ipNF5vLKiWzZhaSQg=s240-c-k-c0x00ffffff-no-rj,UCfkXDY7vwkcJ8ddFGz8KusA,https://www.youtube.com/channel/UCfkXDY7vwkcJ8ddFGz8KusA
CR_YT_0024,JFlaMusic,@yt_uclkrzsd,YouTube,엔터테인먼트,버라이어티,Korea,17200000,10386597,155798955,6.51,2.2,18-34,Mixed,3591.0,8,유지,2026-01-18,확인필요,11,3.5,메가,PPL,2026-06-13,4784710,https://yt3.ggpht.com/Viw4JO0fhLBsSpzGUf8KteV1VcnZfGsjZ2oLvw7cwx19EgrYg5Ul2QkAB-zquKiMJY4eMOBmIdM=s240-c-k-c0x00ffffff-no-rj,UClkRzsdvg7_RKVhwDwiDZOA,https://www.youtube.com/channel/UClkRzsdvg7_RKVhwDwiDZOA
CR_YT_0025,Hongyu ASMR 홍유,@yt_ucxtlc0j,YouTube,라이프스타일,브이로그,Korea,16800000,5468227,60150497,1.76,4.5,18-34,Mixed,14815.0,16,하락,2026-01-27,없음,24,5.0,메가,브랜디드콘텐츠,2026-06-13,1922147,https://yt3.ggpht.com/s2Llndi5lUM9IAP4bpzCiVtrbuTHQ8rqAaPixulaE2gqM8ljDSp9Phy9ynAt5fA1IZpGPx_jxA=s240-c-k-c0x00ffffff-no-rj,UCxtLc0Jqq3SKBWlIXM_OC9g,https://www.youtube.com/channel/UCxtLc0Jqq3SKBWlIXM_OC9g
CR_YT_0026,BIGBANG,@yt_uczw-c7f,YouTube,엔터테인먼트,버라이어티,Korea,16800000,13290653,132906530,7.62,4.2,18-34,Mixed,3554.0,2,유지,2026-05-10,없음,22,4.5,메가,PPL,2026-06-13,3921301,https://yt3.ggpht.com/ytc/AIdro_n0J82ENLVh_wfaD7eOSjwfqloqGswqBxH4H-gg8PscRKw=s240-c-k-c0x00ffffff-no-rj,UCzw-C7fNfs018R1FzIKnlaA,https://www.youtube.com/channel/UCzw-C7fNfs018R1FzIKnlaA
CR_YT_0027,핑크퐁 (인기 동요・동화),@yt_ucqxwku6,YouTube,교육,스터디,Korea,16500000,3327358,49910370,7.77,2.2,25-44,Mixed,1139.0,16,유지,2026-02-11,없음,32,4.7,메가,스폰서십,2026-06-13,1457024,https://yt3.ggpht.com/_eKpYjoEsVpD9hajullwZblg5A1Hgf0RdjKmQGLZ5MvB1v03uA4X7QWCpEs2L_TCVOpJDVodKQ=s240-c-k-c0x00ffffff-no-rj,UCqXwKu6dKobXEQFhdKtiJLQ,https://www.youtube.com/channel/UCqXwKu6dKobXEQFhdKtiJLQ
CR_YT_0028,설기양SULGI,@yt_uciafb9e,YouTube,푸드,쿠킹,Korea,16200000,4885496,92824424,6.15,3.7,18-34,Mixed,10520.0,1,상승,2026-04-05,없음,9,4.0,메가,먹방협찬,2026-06-13,3122876,https://yt3.ggpht.com/ytc/AIdro_mujghlCKM2BIbBVJ_gYPD617iJ6RM5oZffWjYBJGGe-_Y=s240-c-k-c0x00ffffff-no-rj,UCIafb9ExBkh4WsCOagZssZA,https://www.youtube.com/channel/UCIafb9ExBkh4WsCOagZssZA
CR_YT_0029,BIBO와 장난감,@yt_ucl4r3zh,YouTube,엔터테인먼트,예능,Korea,15900000,20292682,344975594,3.94,2.1,18-34,Mixed,3546.0,4,상승,2026-05-24,없음,7,5.0,메가,PPL,2026-06-13,12496942,https://yt3.ggpht.com/ytc/AIdro_mRHSG2K-O_o7R_aMjc2dNKMGrqfqgylQtfsNMUV6fik4g=s240-c-k-c0x00ffffff-no-rj,UCL4r3zHKJpcJ0jEYSbobk1Q,https://www.youtube.com/channel/UCL4r3zHKJpcJ0jEYSbobk1Q
CR_YT_0030,GONGSAM TABLE 이공삼,@yt_uc2b5onl,YouTube,푸드,레시피,Korea,15400000,3728956,52205384,6.5,4.8,18-34,Mixed,12256.0,2,유지,2026-03-27,없음,15,4.5,메가,먹방협찬,2026-06-13,2404381,https://yt3.ggpht.com/ytc/AIdro_l6JZuD6XU65aVvlI0Wf79qltdvQFvExNwe1XkrYvpBY4A=s240-c-k-c0x00ffffff-no-rj,UC2B5onlYkZ7IaVekR9yIB6w,https://www.youtube.com/channel/UC2B5onlYkZ7IaVekR9yIB6w
CR_YT_0031,Boram Tube ToysReview [보람튜브 토이리뷰],@yt_uc3pnq7m,YouTube,엔터테인먼트,브이로그,Korea,14900000,7716763,154335260,6.92,4.6,18-34,Mixed,11917.0,20,상승,2026-05-01,없음,20,5.0,메가,브랜디드콘텐츠,2026-06-13,6953169,https://yt3.ggpht.com/ytc/AIdro_nw8XtWr0TzUYmcKucgYcT5R6OVN6QCW2L5y_Gtjt0zC54=s240-c-k-c0x00ffffff-no-rj,UC3pnQ7MHDABUFungNcMQ7dA,https://www.youtube.com/channel/UC3pnQ7MHDABUFungNcMQ7dA
CR_YT_0032,당비 Dangbee EATING,@yt_ucdtz84r,YouTube,푸드,먹방,Korea,14300000,3541114,38952254,7.85,3.0,18-34,Mixed,10070.0,20,유지,2026-01-18,없음,19,5.0,메가,제품리뷰,2026-06-13,1090274,https://yt3.ggpht.com/TiH_F8S45SL5ds9OWICwJw9fwgMPVhrNuK-KCRuGRZQgOu9L86_tVZ_KXX07moDIjw6cpIAIPA=s240-c-k-c0x00ffffff-no-rj,UCDtz84R5bn4fY8AgHuouojg,https://www.youtube.com/channel/UCDtz84R5bn4fY8AgHuouojg
CR_YT_0033,[햄지]Hamzy,@yt_ucpknkld,YouTube,푸드,레시피,Korea,14100000,4711864,94237280,5.63,3.2,18-34,Mixed,900.0,20,유지,2026-01-10,없음,39,4.2,메가,제품리뷰,2026-06-13,2812629,https://yt3.ggpht.com/iLXgJAWo5zn0fBY0RgKXkxgTtkzTcDXjgeriRAElnqNm9Zsf7VySgOVq7WNPCJEIxXm266XupQ=s240-c-k-c0x00ffffff-no-rj,UCPKNKldggioffXPkSmjs5lQ,https://www.youtube.com/channel/UCPKNKldggioffXPkSmjs5lQ
CR_YT_0034,ENHYPEN,@yt_ucarlzto,YouTube,엔터테인먼트,리액션,Korea,13800000,1826220,16435980,3.27,4.4,18-34,Mixed,13543.0,8,상승,2026-04-22,없음,37,4.2,메가,브랜디드콘텐츠,2026-06-13,612294,https://yt3.ggpht.com/gKp9WExdyzEEBpHM7WgVEgIhl7-yVhIAzOe1U5jJEYSYi17AbvUXyW4dGRk2KykXeCsgUhqD4A=s240-c-k-c0x00ffffff-no-rj,UCArLZtok93cO5R9RI4_Y5Jw,https://www.youtube.com/channel/UCArLZtok93cO5R9RI4_Y5Jw
CR_YT_0035,서은일상이야기,@yt_ucraan4f,YouTube,엔터테인먼트,리액션,Korea,13800000,1113043,8904344,6.95,4.1,18-34,Mixed,1515.0,16,유지,2026-03-18,없음,17,5.0,메가,브랜디드콘텐츠,2026-06-13,315790,https://yt3.ggpht.com/ytc/AIdro_lOej74yZfILEMVNJkDiI494SFRT5cBUCI4dZxqZxG_bZ8=s240-c-k-c0x00ffffff-no-rj,UCraaN4FiNe7l3F4XR6s246A,https://www.youtube.com/channel/UCraaN4FiNe7l3F4XR6s246A
CR_YT_0036,tzuyang쯔양,@yt_ucfpasru,YouTube,푸드,쿠킹,Korea,13300000,3485130,55762080,3.77,3.2,18-34,Mixed,6596.0,4,유지,2026-06-07,없음,40,4.2,메가,먹방협찬,2026-06-13,1703530,https://yt3.ggpht.com/X33l_vqFwjzDTwlXilfakO6lwf2zz_JjDozCaBHkUS57e2XzE8IjL9v9v_Q4v_my-T5tpt24jA=s240-c-k-c0x00ffffff-no-rj,UCfpaSruWW3S4dibonKXENjA,https://www.youtube.com/channel/UCfpaSruWW3S4dibonKXENjA
CR_YT_0037,TOMORROW X TOGETHER OFFICIAL,@yt_uctiobj3,YouTube,엔터테인먼트,브이로그,Korea,13300000,1179302,20048134,4.88,2.0,18-34,Mixed,8910.0,4,유지,2026-04-24,없음,18,5.0,메가,PPL,2026-06-13,608571,https://yt3.ggpht.com/RRRNWsQbSqBaW8YB750AZo2Ad3f_YnRVDV5BFn54PrxM606rxcHLICm1rs_6EsxlC_4w9JN23Q=s240-c-k-c0x00ffffff-no-rj,UCtiObj3CsEAdNU6ZPWDsddQ,https://www.youtube.com/channel/UCtiObj3CsEAdNU6ZPWDsddQ
CR_YT_0038,쏘영 Ssoyoung,@yt_uc4ppfur,YouTube,푸드,먹방,Korea,12300000,1780564,32050152,4.29,4.7,18-34,Mixed,4615.0,20,하락,2026-03-02,없음,15,5.0,메가,먹방협찬,2026-06-13,907650,https://yt3.ggpht.com/ytc/AIdro_n1eVcavGdPI70m8fVwMWEDzSrX6rqZ8HOwf5gtPxYShmc=s240-c-k-c0x00ffffff-no-rj,UC4PpFUrfT2Pou7OwpVF0MUQ,https://www.youtube.com/channel/UC4PpFUrfT2Pou7OwpVF0MUQ
CR_YT_0039,Lilifilm Official,@yt_uc35hkvk,YouTube,라이프스타일,일상,Korea,11600000,24615384,443076912,6.95,2.4,18-34,Mixed,9363.0,1,상승,2026-06-11,없음,20,4.0,메가,브랜디드콘텐츠,2026-06-13,13547720,https://yt3.ggpht.com/ytc/AIdro_kaA0ajzVALXoPMdWKapVBAgJKjfVIiWdDfQrytNs49LWI=s240-c-k-c0x00ffffff-no-rj,UC35HKvKYPkri4Grd5KXl3wQ,https://www.youtube.com/channel/UC35HKvKYPkri4Grd5KXl3wQ
CR_YT_0040,BABYMONSTER,@yt_ucqwungg,YouTube,엔터테인먼트,브이로그,Korea,11500000,9786432,166369344,6.07,3.5,18-34,Mixed,580.0,2,상승,2026-02-15,없음,14,4.5,메가,브랜디드콘텐츠,2026-06-13,4636739,https://yt3.ggpht.com/guzIoEyd9IyKWaD7Jfnlp1rD7k9SiEOV7go0ItyJ3O9V-j8ez6Jvs4Yj3LfrCu3Z7rFcdIqYLTI=s240-c-k-c0x00ffffff-no-rj,UCqwUnggBBct-AY2lAdI88jQ,https://www.youtube.com/channel/UCqwUnggBBct-AY2lAdI88jQ
CR_YT_0041,MBCkpop,@yt_uce52oeb,YouTube,엔터테인먼트,리액션,Korea,11400000,196842,3936840,4.64,2.2,18-34,Mixed,12121.0,2,하락,2026-06-06,없음,12,4.5,메가,PPL,2026-06-13,179857,https://yt3.ggpht.com/lMLCpSdIgJNZ11RW-0hyfU3Xb4f-molFbQFPn_302s1BAjJUFL8298P4Sbz_W76YEWtwscXi-48=s240-c-k-c0x00ffffff-no-rj,UCe52oeb7Xv_KaJsEzcKXJJg,https://www.youtube.com/channel/UCe52oeb7Xv_KaJsEzcKXJJg
CR_YT_0042,Stone Music Entertainment,@yt_uc_pwixk,YouTube,엔터테인먼트,버라이어티,Korea,11100000,805714,15308566,3.91,4.7,18-34,Mixed,7383.0,8,유지,2026-05-14,없음,15,5.0,메가,PPL,2026-06-13,675829,https://yt3.ggpht.com/_P_rnE3VjFpxgyip2Zo-KMocdVi7jc2rRrxfE9E5xugJmAo3363bR_RIw3iQvJWzzxVOCXsw=s240-c-k-c0x00ffffff-no-rj,UC_pwIXKXNm5KGhdEVzmY60A,https://www.youtube.com/channel/UC_pwIXKXNm5KGhdEVzmY60A
CR_YT_0043,문복희 Eat with Boki,@yt_ucolqz4z,YouTube,푸드,레시피,Korea,11000000,3140764,47111460,2.7,2.2,18-34,Mixed,5136.0,4,하락,2026-02-08,없음,20,5.0,메가,먹방협찬,2026-06-13,1788231,https://yt3.ggpht.com/ytc/AIdro_mTvyQqvy_sv5elJeZB6-6h8EgQFWFHB6Ib_6eBa7sbuYM=s240-c-k-c0x00ffffff-no-rj,UCoLQZ4ZClFqVPCvvjuiUSRA,https://www.youtube.com/channel/UCoLQZ4ZClFqVPCvvjuiUSRA
CR_YT_0044,토이몽 TV - ToyMong Tv,@yt_uc0vdcy8,YouTube,엔터테인먼트,버라이어티,Korea,10800000,60000,660000,1.72,2.6,18-34,Mixed,7256.0,8,상승,2026-04-10,없음,31,4.7,메가,PPL,2026-06-13,21298,https://yt3.ggpht.com/XPabeOMaUt6VHVVVHXiDU5JMyBJWnLTTtWUfi0PTSdzra90tGuDO0A2IBw4akXMUacOIq2zh=s240-c-k-c0x00ffffff-no-rj,UC0vDCy8moGUhR7kRL19wWpw,https://www.youtube.com/channel/UC0vDCy8moGUhR7kRL19wWpw
CR_YT_0045,M2,@yt_uctqvixv,YouTube,엔터테인먼트,브이로그,Korea,10600000,372187,7443740,6.06,4.6,18-34,Mixed,14170.0,20,유지,2026-05-18,없음,29,4.7,메가,PPL,2026-06-13,275134,https://yt3.ggpht.com/-CMwNSrdUuj-abbE1fB1ml62omQHViexCOp4IrDmans8QgqKC153dCgPk9wtBLJfXEP1gNGa=s240-c-k-c0x00ffffff-no-rj,UCTQVIXvcHrR9jYoJ6qaBAow,https://www.youtube.com/channel/UCTQVIXvcHrR9jYoJ6qaBAow
CR_YT_0046,TwinRoozi 쌍둥이 루지,@yt_ucma-5a4,YouTube,푸드,먹방,Korea,10600000,9471365,179955935,6.9,4.7,18-34,Mixed,7542.0,8,유지,2026-02-12,없음,19,5.0,메가,제품리뷰,2026-06-13,7283679,https://yt3.ggpht.com/ZAxJI9hICpzP8KRoiyVQgZyaFbF5dU4klAo6WJW4sgORJtWKr7JTot1pl1HDiS92mLHRzX0lIbs=s240-c-k-c0x00ffffff-no-rj,UCMa-5a4Hg3KnbiDOvhdfb3w,https://www.youtube.com/channel/UCMa-5a4Hg3KnbiDOvhdfb3w
